Date,Description,Amount,Type,Category
"07-17-2026","ZELLE PAYMENT TO A TO Z APPLIANCE REPAIR LLC 30050189944",500.00,"expense","Charity"
"07-17-2026","POS DEBIT                BINGO WHOLESALE SUPERM    SPRING VALLE NY",245.53,"expense","Random"
"07-17-2026","POS DEBIT                IC* INSTACART             +18882467822 CA                                                                                                                                                                                                                                                                        4654",130.05,"expense","Car"
"07-17-2026","POS DEBIT                HATZLACHA GROCERY         SPRING VALLE NY",15.16,"expense","Grocery"
"07-17-2026","POS DEBIT                HATZLACHA GROCERY         SPRING VALLE NY",47.05,"expense","Grocery"
"07-17-2026","POS DEBIT                GLAUBERS BAKERY           SPRING VALLE NY",21.90,"expense","Random"
"07-17-2026","POS DEBIT                GLAUBERS BAKERY           SPRING VALLE NY",99.00,"expense","Random"
"07-17-2026","ORIG CO NAME:CYM Living LLC   CO ENTRY DESCR:PAYROLL    SEC:PPD                        ORIG ID:9843518375",2809.40,"income","Paychecks"
"07-17-2026","POS DEBIT                NEWDAY                   AIRMONT       NY",242.81,"expense","Random"
"07-17-2026","POS DEBIT                TOIREM.ORG CHARITY       BROOKLYN      NY",72.00,"expense","Charity"
"07-17-2026","POS DEBIT                CAMPAISH                 +17183546463  NJ                                                                                                                                                                                                                                                                        0034",51.50,"expense","Camp"
"07-17-2026","POS DEBIT                TOIREM.ORG CHARITY       8452864736    NY",50.00,"expense","Charity"
"07-17-2026","POS DEBIT                AMAZON PRIME PMTS        amzn.com/bil  WA                                                                                                                                                                                                                                                                        2257",4.99,"expense","Amazon & Target"
"07-17-2026","POS DEBIT                NEWDAY                    AIRMONT      NY",117.38,"expense","Random"
"07-16-2026","NEWREZ-SHELLPOIN ACH PMT                    PPD ID: 6371542226",1471.35,"expense","Car"
"07-16-2026","OPTIMUM 7873     CABLE PMNT                 PPD ID: 9078730003",157.11,"expense","Utilities"
"07-16-2026","INTUIT *QBooks Onlin CL.INTUIT.COM CA        07/16",20.59,"expense","Random"
"07-16-2026","AMAZON MKTPL*YX3GJ8K Amzn.com/bill WA        07/16",6.49,"expense","Amazon & Target"
"07-16-2026","TST* PRIMAVERA CAFE A 845-201-9000 NY        07/16",99.56,"expense","Takeout"
"07-16-2026","MED*MMC PB POS TARRYTOWN NY                  07/15",45.00,"expense","Random"
"07-16-2026","Zelle payment from SABRINA WEINSTEIN DBA 30028397020",50.00,"income","Charity"
"07-16-2026","REMOTE ONLINE DEPOSIT #          1",75.50,"income","Random"
"07-16-2026","REMOTE ONLINE DEPOSIT #          1",2457.06,"income","Random"
"07-15-2026","Guardian Life ACH Paymnt                 PPD ID: 9555845002",37.25,"expense","Random"
"07-15-2026","THE GUARDIAN     INSUR PREM                 PPD ID: 9555845001",53.22,"expense","Random"
"07-15-2026","PRIMO BRANDS/WATERSER 800-274-5282 CA        07/15",51.98,"expense","Utilities"
"07-15-2026","Zelle payment to South Dexter Shul 29623967263",50.00,"expense","Charity"
"07-15-2026","MONSEY TAKEOUT 184-54252300 NY               07/14",22.76,"expense","Takeout"
"07-15-2026","MONSEY TAKEOUT 184-54252300 NY               07/14",2.17,"expense","Takeout"
"07-15-2026","VISTAPRINT 866-207-4955 MA                   07/14",46.58,"expense","Random"
"07-15-2026","CPP*YACHAD COOLAM INT 845-232-1091 NY        07/14",20.60,"expense","Random"
"07-15-2026","EVERGREEN KOSHER MARKET MONSEY NY            07/13",10.00,"expense","Grocery"
"07-15-2026","EVERGREEN KOSHER MARKET MONSEY NY            07/13",14.88,"expense","Grocery"
"07-15-2026","EVERGREEN KOSHER MARKET MONSEY NY            07/13",415.22,"expense","Grocery"
"07-14-2026","ATM WITHDRAWAL                       006250  07/141 E CENTR",200.00,"expense","Random"
"07-14-2026","Zelle payment to Mabel  30007552198",200.00,"expense","Charity"
"07-14-2026","AMAZON MKTPL*5D13029 Amzn.com/bill WA        07/14",10.83,"expense","Amazon & Target"
"07-14-2026","AMAZON MKTPL*BH65P3X Amzn.com/bill WA        07/14",20.86,"expense","Amazon & Target"
"07-14-2026","AMAZON MKTPL*4P0OZ9I Amzn.com/bill WA        07/14",20.86,"expense","Amazon & Target"
"07-13-2026","Audible*2O06V2VF3 Amzn.com/bill NJ           07/13",14.95,"expense","Random"
"07-13-2026","AMAZON MKTPL*JH8BK4M Amzn.com/bill WA        07/13",8.93,"expense","Amazon & Target"
"07-13-2026","Amazon.com*W41YN7FI3 Amzn.com/bill WA        07/13",6.71,"expense","Amazon & Target"
"07-13-2026","SP NOGGIWEAR NOGGIWEAR.COM NY                07/12",68.89,"expense","Random"
"07-13-2026","AMAZON MKTPL*9P6R49M Amzn.com/bill WA        07/13",43.34,"expense","Amazon & Target"
"07-13-2026","CAMPAISH WWW.CAMPAISH. NJ                    07/12",75.19,"expense","Camp"
"07-13-2026","AMAZON MKTPL*6Y15X4T Amzn.com/bill WA        07/13",28.17,"expense","Amazon & Target"
